做核磁共振去哪？	请前往3号楼2层北侧的放射科进行核磁共振检查。
住院去哪缴费？	请到1号楼1层大厅的住院缴费窗口办理相关手续。
医院有食堂吗？	有的，医院食堂位于1号楼北侧相邻的建筑内，提供早中晚三餐服务。
拍CT去哪？	拍CT请前往3号楼1层的影像科。
如何前往门诊部？	门诊部位于2号楼1层，从正门进入后直走即可到达。
抽血在哪儿？	抽血请前往2号楼1层检验科门口的采血窗口。
打疫苗去哪？	打疫苗请前往1号楼3层的预防接种门诊。
做心电图去哪？	做心电图请前往2号楼2层心电图室。
门诊药房在哪？	门诊药房位于1号楼1层东侧。
出院手续在哪办？	出院手续在1号楼2层的出院办理窗口办理。
抽血化验去哪？	请前往2号楼1层西侧的检验科抽血化验。
心电图检查在哪？	请到3号楼2层心功能检查室进行心电图检查。
B超检查在哪做？	请前往3号楼1层超声科进行B超检查。
输液室在哪？	输液室位于2号楼3层东侧，请按指示标志前往。
产科门诊在哪？	产科门诊设在1号楼2层妇产科区域。
体检中心在哪？	体检中心在2号楼1层南侧，请从南门进入后左转。
门诊缴费窗口在哪？	门诊缴费窗口位于1号楼1层大厅正中央。
住院部在哪？	住院部设在4号楼，出门左转直行即到。
住院部护士站在哪？	各楼层病区入口处均设有护士站，请根据病房号前往对应楼层。
病案室在哪？	病案室位于1号楼负一层，可办理病历复印业务。
挂号窗口在哪？	挂号窗口在1号楼1层大厅西侧，靠近大门方向。
中医科在哪？	中医科设在1号楼3层，请乘坐电梯直达。
药房在哪？	门诊药房位于1号楼1层西北角，靠近缴费窗口。
急诊科在哪？	急诊科设在2号楼东侧，可从急诊专用通道进入。
核酸采样点在哪？	核酸采样点位于2号楼门口西侧临时棚内。
消化内镜中心在哪？	请前往3号楼2层东侧的内镜中心进行相关检查。
医保结算窗口在哪？	医保窗口在1号楼1层大厅南侧，靠近自助挂号机区域。
咨询服务台在哪？	咨询服务台设在1号楼大厅中部，正对正门。
停车场入口在哪？	停车场入口位于医院西门外，请沿指示牌前行。
吸烟区在哪？	医院内全面禁烟，请勿在院区内吸烟。
无障碍卫生间在哪？	各主楼每层均设有无障碍卫生间，靠近电梯口。
洗手间在哪？	各层电梯附近和走廊尽头均设有公共洗手间。
出院办理在哪？	请前往4号楼1层出院服务窗口办理相关手续。
门诊注射室在哪？	门诊注射室在2号楼1层北侧，紧邻输液大厅。
康复科在哪？	康复医学科位于4号楼2层东南角。
口腔科在哪？	口腔科设在1号楼2层西侧，靠近眼科区域。
眼科在哪？	眼科位于1号楼2层中部，紧邻耳鼻喉科。
耳鼻喉科在哪？	耳鼻喉科设在1号楼2层东侧，靠近门诊楼梯口。
自助挂号机在哪？	自助挂号机分布于1号楼1层大厅及门口两侧。
儿童输液区在哪？	儿童专用输液区位于2号楼3层西侧。
核磁共振结果在哪取？	请在3号楼2层放射科服务台领取检查结果。
核磁共振报告在哪拿？	请前往3号楼2层放射科服务台领取核磁共振报告。
CT报告在哪拿？	CT检查结果可在3号楼1层影像科取片窗口领取。
B超报告怎么取？	B超报告在3号楼1层超声科打印台自助打印或人工领取。
心电图结果在哪取？	心电图结果在3号楼2层心功能科服务台领取。
取药要去哪？	门诊取药请到1号楼1层门诊药房窗口排队领取。
儿科在哪？	儿科门诊在2号楼2层南侧，专设儿童候诊区。
妇科门诊在哪？	妇科门诊位于1号楼3层妇产科区域，电梯直达。
骨科在哪？	骨科门诊设在1号楼3层东南角，靠近外科区域。
神经内科在哪？	神经内科门诊在1号楼2层西侧。
皮肤科在哪？	皮肤科设在2号楼1层北侧。
内科在哪？	综合内科门诊设在1号楼2层中部。
外科在哪？	外科门诊设在1号楼3层东侧。
肿瘤科在哪？	肿瘤科门诊在3号楼3层西侧。
放射科在哪？	放射科设在3号楼2层北侧，负责核磁共振等影像检查。
超声科在哪？	超声科位于3号楼1层东侧。
产房在哪？	产房在4号楼4层，请按产科护士指引前往。
麻醉科在哪？	麻醉科位于3号楼手术中心内部，仅限医务人员进入。
输血科在哪？	输血科设在2号楼负一层东南角。
手术室在哪？	手术室位于3号楼3层，家属可在手术等待区等候。
产检去哪做？	产检请前往1号楼3层产科门诊。
新生儿科在哪？	新生儿科位于4号楼5层，设有独立隔离病房。
理疗科在哪？	理疗科设在4号楼2层康复医学区域内。
胃镜在哪做？	请到3号楼2层内镜中心进行胃镜检查。
肠镜在哪做？	肠镜检查与胃镜同处于3号楼2层内镜中心。
导诊台在哪？	导诊台设在1号楼大厅进门右手侧，提供人工咨询服务。
自助缴费机在哪？	自助缴费机分布在1号楼大厅和各层候诊区旁。
诊断证明在哪开？	请找相应门诊医生开具诊断证明后，至1号楼1层盖章窗口盖章。
病房探视区在哪？	请根据病房楼层与床号，到住院部对应探视区。
特需门诊在哪？	特需门诊设在1号楼4层，需提前预约。
高压氧治疗室在哪？	高压氧治疗室在4号楼负一层。
健康证去哪办？	办理健康证请前往体检中心2号楼1层。
门诊留观室在哪？	门诊留观室位于2号楼3层注射区旁。
肝功能检查在哪做？	请前往2号楼1层检验科窗口办理抽血化验。
核酸结果去哪查？	核酸检测结果可在医院公众号或体检中心窗口查询。
快递自取点在哪？	医院快递自取点在1号楼外侧保安亭旁，请凭取件码领取。
