挂号可以用现金吗？	可以，大多数医院挂号窗口支持现金支付。
忘记带身份证可以挂号吗？	部分医院支持使用医保卡或电子身份证挂号，请咨询导医台。
挂号排队时间长怎么办？	建议使用线上预约功能，避免现场长时间等候。
医生会说方言听不懂怎么办？	您可以向医生或导医请求普通话沟通或提供翻译帮助。
没有医保可以看病吗？	可以，自费患者同样可以就诊并享受相应医疗服务。
医保卡可以跨省使用吗？	参保地支持异地就医备案的情况下可跨省结算，建议提前备案。
门诊费用可以走医保吗？	可以，大部分门诊费用可通过医保报销，报销比例视地区政策而定。
哪些药可以报销？	在医保目录范围内的药品均可按规定比例报销。
如何补打发票？	请携带身份证或就诊卡到门诊收费窗口申请补打发票。
哪些检查需要空腹？	如血糖、肝功能、B超等检查需空腹，医生会提前告知注意事项。
检查前可以吃药吗？	部分检查需停药，请在检查前向医生确认是否需要停药。
如何知道检查结果是否异常？	建议请医生解读检查报告，避免自行误判。
血常规检查包含哪些项目？	血常规一般包括红细胞、白细胞、血红蛋白、血小板等指标。
体检和就诊需要分开挂号吗？	需要，体检中心和门诊挂号系统通常不互通。
取药可以代领吗？	可以，凭借取药单及就诊人信息可代为领取药物。
药品过期还能用吗？	不能，过期药品可能失效或有害健康，请及时处理。
挂号单丢了怎么办？	可凭身份证或就诊卡到导诊台或挂号窗口查询补打。
需要复查时如何预约？	可在医生开具复查单后通过线上或线下方式进行预约。
医院提供轮椅或担架吗？	提供，请在门诊大厅或导诊台借用登记使用。
医院能开残疾鉴定证明吗？	部分医院具备资质，请先咨询康复科或相关科室。
怎么申请健康证明？	挂号至全科或体检科，由医生评估后可开具健康证明。
做胃镜需要提前准备吗？	需要，通常前一晚禁食、禁水，请严格按医生要求执行。
核酸检测去哪做？	请到发热门诊或指定核酸采样点，携带身份证登记采样。
进医院需要戴口罩吗？	是的，为防控传染病，进出医院需全程佩戴口罩。
医院有母婴室吗？	有，一般位于门诊楼或妇产科区域，可咨询导医台。
医院支持无障碍通道吗？	支持，大部分医院设有无障碍通道、电梯及洗手间。
怎样查询历史就诊记录？	登录医院APP或在自助机上可查看过往就诊记录。
医院有夜间药房吗？	部分大型医院设有24小时药房，详情请咨询服务台。
如何办理出院手续？	医生签署出院通知后，可到住院收费窗口结清费用办理出院。
出院后如何开药？	出院后如需用药，可至门诊复诊由医生开具处方。
医院支持刷医保电子凭证吗？	支持，请在支付时出示医保电子凭证二维码。
如何预约专家号？	您可以通过医院微信公众号或APP预约专家号，选择医生和就诊时间。
初次就诊需要带什么？	请携带身份证、医保卡（如有）及相关病历资料前来就诊。
挂号后可以取消吗？	可以，请在就诊前通过预约平台或窗口进行取消操作。
医保卡丢了怎么办？	请及时到医保中心补办，并向医院说明情况，使用身份证先行就诊。
看病可以用别人的医保卡吗？	不可以，医保卡仅限本人使用，违规使用将被处罚。
住院需要预约床位吗？	部分科室需预约床位，具体请咨询就诊科室的护士站。
住院押金怎么交？	住院押金可在住院窗口缴纳，支持现金、银行卡及移动支付。
检查报告多久出？	一般检查当天或次日可出结果，具体以检查项目为准。
检查结果可以网上查看吗？	可以，登录医院官网或微信公众号绑定信息后可查看电子报告。
拍片和CT检查有什么区别？	拍片主要用于普通X光检查，CT能提供更清晰的断层图像。
化验单怎么看不懂怎么办？	可请医生进行解释或到导诊台寻求帮助。
如何申请病假条？	就诊后可由医生根据病情开具病假证明，请至窗口盖章生效。
病历可以打印吗？	可以，带身份证至门诊病案室办理病历打印手续。
药拿错了怎么办？	请立即联系药房工作人员核实情况，妥善处理避免用药错误。
复诊还要重新挂号吗？	是的，每次就诊都需重新挂号，如为复诊可选同一医生。
门诊有夜间服务吗？	部分科室提供夜间门诊，请查看医院公告或咨询导医台。
医院几点开始挂号？	通常早上7:30开始挂号，不同医院可能略有差异。
可以代他人挂号吗？	可以，请携带被挂号人的身份证或相关信息办理。
高血压患者需要定期复查吗？	建议定期复查血压和相关指标，具体周期由医生评估确定。
药品能退吗？	如药品未拆封且符合退药规定，可在一定时间内退还，请咨询药房。
